,Player,Position,Age,Height,Weight,GP
199,Conor Garland,R,27.6,70,165,1.604500844499622
200,Conor Sheary,L,31.3,69,179,1.9951548210602614
201,Conor Timmins,D,25.0,74,202,
202,Corey Perry,R,38.4,75,208,1.6191046414608286
203,Corey Schueneman,D,28.1,71,197,
204,Craig Smith,C,34.1,72,204,1.841106189224293
205,Curtis Lazar,C,28.7,72,203,2.4947720056149425
206,Dakota Joshua,C,27.4,75,206,2.8199915088524645
207,Dakota Mermis,D,29.7,72,195,
208,Damien Giroux,C,23.6,70,179,4.002036356656446
209,Damon Severson,D,29.2,74,205,
210,Dan Renouf,D,29.3,73,198,
211,Daniel Sprong,R,26.5,72,202,2.590651269468742
212,Daniil Miromanov,D,26.2,76,200,
213,Danil Gushchin,L,21.6,68,165,3.805675004516281
214,Dante Fabbro,D,25.3,72,189,
215,Danton Heinen,L,28.2,73,188,1.243613649812513
216,Darnell Nurse,D,28.7,76,221,
217,Darren Helm,C,36.7,72,192,2.9484651871778977
218,Darren Raddysh,D,27.6,73,200,
219,David Gust,R,29.6,70,177,2.5141930792999965
220,David Gustafsson,C,23.5,74,212,3.015708706092151
221,David Jiricek,D,19.8,76,199,
222,David Kampf,C,28.7,74,197,2.0038554713351955
223,David Krejci,C,37.4,72,192,2.6860291789182047
224,David Pastrnak,R,27.4,73,195,2.4908067849594433
225,David Perron,L,35.3,73,196,2.545727471666989
226,David Savard,D,32.9,73,235,
227,Dawson Mercer,C,21.9,72,180,1.474649039602305
228,Denis Gurianov,R,26.3,75,205,1.6238958679669082
229,Denis Malgin,C,26.7,69,182,2.6313103560773667
230,Dennis Cholowski,D,25.6,74,210,
231,Dennis Gilbert,D,26.9,74,216,
232,Derek Forbort,D,31.6,76,208,
233,Derek Grant,C,33.4,75,210,2.264838314317382
234,Derek Ryan,C,36.8,70,185,2.0557928300293296
235,Derek Stepan,C,33.3,71,196,2.104732142102647
236,Derick Brassard,C,36.0,73,200,1.9286177018787312
237,Derrick Pouliot,D,29.7,72,196,
238,Devin Shore,C,29.2,73,206,1.9133311161427347
239,Devon Toews,D,29.6,73,191,
240,Dillon Dube,C,25.2,71,185,1.2257328053046468
241,Dillon Heatherington,D,28.4,76,215,
242,Dmitri Samorukov,D,24.3,75,188,
243,Dmitry Kulikov,D,32.9,73,201,
244,Dmitry Orlov,D,32.2,71,214,
245,Dominic Toninato,C,29.6,74,191,3.3353639846349594
246,Dominik Kubalik,L,28.1,74,190,1.552123226422438
247,Dougie Hamilton,D,30.3,78,230,
248,Drake Batherson,R,25.4,75,200,1.6604863715189
249,Drake Caggiula,C,29.3,70,176,2.5382492076232386
250,Drew Doughty,D,33.8,73,210,
251,Drew Helleson,D,22.5,75,190,
252,Drew O'Connor,L,25.3,75,200,2.474171174353141
253,Dryden Hunt,L,27.9,72,193,3.6884085606125576
254,Dylan Coghlan,D,25.6,74,208,
255,Dylan Cozens,C,22.6,75,195,2.4925804620914445
256,Dylan DeMelo,D,30.4,72,195,
257,Dylan Gambrell,C,27.1,71,185,1.7828939256164398
258,Dylan Guenther,R,20.5,74,175,3.973901774075448
259,Dylan Holloway,L,22.0,73,203,3.1736311616191313
260,Dylan Larkin,C,27.2,73,198,1.7188253285310875
261,Dylan McIlrath,D,31.4,77,232,
262,Dylan Samberg,D,24.7,76,219,
263,Dylan Strome,C,26.6,75,200,1.6616623333276823
264,Dysin Mayo,D,27.1,74,183,
265,Eeli Tolvanen,R,24.4,70,191,1.6266735720481837
266,Eetu Luostarinen,C,25.1,75,190,2.018612045441125
267,Egor Afanasyev,L,22.7,76,211,3.7306405281131014
268,Egor Sokolov,L,23.3,75,222,2.8216762323129854
269,Egor Zamula,D,23.5,75,177,
270,Elias Lindholm,C,28.8,73,202,1.7227842697215454
271,Elias Pettersson,C,24.9,74,176,1.6422314422760265
272,Elliot Desnoyers,L,21.7,71,183,4.127655134577016
273,Elmer Soderblom,L,22.2,80,246,3.3190900620501393
274,Emil Bemstrom,R,24.3,72,195,2.264879078449885
275,Eric Robinson,L,28.3,74,205,1.4773116935839912
276,Eric Staal,C,38.9,76,195,1.9372614691878847
277,Erik Brannstrom,D,24.1,70,185,
278,Erik Cernak,D,26.3,76,224,
279,Erik Gudbranson,D,31.7,77,222,
280,Erik Gustafsson,D,31.5,72,197,
281,Erik Haula,L,32.5,71,191,1.558592326427921
282,Erik Johnson,D,35.5,76,225,
283,Erik Karlsson,D,33.3,72,190,
284,Esa Lindell,D,29.4,75,220,
285,Ethan Bear,D,26.3,71,197,
286,Evan Bouchard,D,23.9,75,194,
287,Evan Rodrigues,C,30.2,71,184,2.1391870675562714
288,Evander Kane,L,32.2,74,210,1.925780620943103
289,Evgeni Malkin,C,37.2,75,195,2.6311761229533834
290,Evgenii Dadonov,R,34.6,71,189,1.3556563576364038
291,Evgeny Kuznetsov,C,31.4,74,207,2.058551459157628
292,Evgeny Svechnikov,L,26.9,75,208,2.2850965931443694
293,Fabian Zetterlund,L,24.1,71,220,2.811564224768839
294,Filip Chytil,C,24.1,74,204,1.7485025021429053
295,Filip Forsberg,L,29.1,73,205,2.021003856997804
296,Filip Hallander,C,23.3,73,190,3.647930372142538
297,Filip Hronek,D,25.9,72,190,
298,Filip Kral,D,23.9,74,198,
299,Filip Roos,D,24.7,76,190,
300,Filip Zadina,R,23.8,72,190,5.236065492332959
301,Frank Vatrano,R,29.6,71,197,1.6164039439447067
302,Frederic Allard,D,25.8,73,179,
303,Frederick Gaudreau,C,30.4,72,184,1.711176352688407
304,Fredrik Karlstrom,C,25.7,75,200,4.0064868351212635
305,Fredrik Olofsson,L,27.3,74,190,2.8241639807206664
306,Gabriel Carlsson,D,26.7,77,195,
307,Gabriel Fortier,L,23.6,70,177,3.7850121201919555
308,Gabriel Vilardi,"C, R",24.1,75,215,2.8708268408247832
309,Garnet Hathaway,R,31.9,75,208,3.523983908873591
310,Gavin Bayreuther,D,29.4,73,196,
311,Givani Smith,R,25.6,74,214,4.311326853765556
312,Glenn Gawdin,C,26.5,73,191,3.160360523737758
313,Grigori Denisenko,L,23.3,71,186,4.123044810573856
314,Guillaume Brisebois,D,26.2,74,175,
315,Gustav Forsling,D,27.3,72,186,
316,Gustav Lindstrom,D,24.9,74,186,
317,Gustav Nyquist,"C, L",34.1,71,180,3.3253300753459034
318,Gustav Olofsson,D,28.8,74,199,
319,Hampus Lindholm,D,29.7,76,215,
320,Hayden Hodgson,R,27.6,74,208,3.3051550704921544
321,Haydn Fleury,D,27.2,76,208,
322,Henri Jokiharju,D,24.3,72,200,
323,Henrik Borgstrom,C,26.2,75,199,3.350625880339374
324,Henry Thrun,D,22.6,74,190,
325,Hudson Fasching,R,28.2,75,204,1.721938079606814
326,Hugh McGing,L,25.2,68,176,2.7221474813095647
327,Hunter McKown,C,21.1,73,205,5.150302849347794
328,Ian Cole,D,34.6,73,225,
329,Ian Mitchell,D,24.7,71,193,
330,Ilya Lyubushkin,D,29.5,74,200,
331,Ilya Mikheyev,R,29.0,74,192,1.4247017196592413
332,Isaak Phillips,D,22.0,75,205,
333,Isac Lundestrom,C,23.9,72,193,2.0940426547709095
334,Ivan Barbashev,C,27.8,73,195,2.587041739129851
335,Ivan Provorov,D,26.7,73,201,
336,J.J. Moser,D,23.3,73,173,
337,J.T. Compher,L,28.5,72,190,1.8609991375602515
338,J.T. Miller,C,30.6,73,218,1.1014729910442655
339,JJ Peterka,R,21.7,72,189,2.3573296990450876
340,Jaccob Slavin,D,29.4,75,207,
341,Jack Drury,C,23.7,71,174,4.228157067801526
342,Jack Eichel,C,26.9,74,207,1.786123229231399
343,Jack Hughes,C,22.4,71,175,1.9802912816048044
344,Jack Johnson,D,36.7,73,227,
345,Jack McBain,C,23.7,75,201,1.3595849771161785
346,Jack Quinn,R,22.0,73,185,1.7163638163279942
347,Jack Rathbone,D,24.4,70,177,
348,Jack Roslovic,C,26.7,73,200,1.971732666970855
349,Jack Studnicka,C,24.6,73,187,2.3583779913321785
350,Jackson Cates,C,26.0,72,190,3.1565191017955203
351,Jackson LaCombe,D,22.7,73,171,
352,Jacob Bernard-Docker,D,23.3,72,190,
353,Jacob Bryson,D,25.9,69,176,
354,Jacob Larsson,D,26.4,74,193,
355,Jacob Lucchini,C,28.4,72,180,3.0046977402061588
356,Jacob MacDonald,D,30.6,72,204,
357,Jacob Moverare,D,25.1,75,210,
358,Jacob Peterson,C,24.2,73,180,3.849954436094017
359,Jacob Trouba,D,29.6,75,203,
360,Jaden Schwartz,C,31.3,70,185,1.5055924913468457
361,Jake Bean,D,25.3,73,196,
362,Jake Christiansen,D,24.1,72,193,
363,Jake DeBrusk,L,27.0,72,197,2.221443530679995
364,Jake Evans,C,27.3,72,186,1.842372014550808
365,Jake Guentzel,L,29.0,71,180,1.667117497358839
366,Jake Leschyshyn,C,24.6,71,195,4.621904308832022
367,Jake Livingstone,D,24.5,75,205,
368,Jake McCabe,D,30.0,73,204,
369,Jake Middleton,D,27.7,75,219,
370,Jake Muzzin,D,34.6,75,227,
371,Jake Neighbours,L,21.5,72,201,2.60693034812977
372,Jake Sanderson,D,21.2,75,195,
373,Jake Walman,D,27.6,74,215,
374,Jakob Chychrun,D,25.5,74,220,
375,Jakob Pelletier,L,22.6,69,170,4.142449250141756
376,Jakob Silfverberg,R,33.0,73,207,1.5942804615248853
377,Jakub Lauko,C,23.5,72,196,3.9899828007148104
378,Jakub Voracek,R,34.1,74,216,3.6358859993129595
379,Jakub Vrana,L,27.6,72,190,3.262988286831566
380,Jakub Zboril,D,26.6,73,201,
381,Jalen Chatfield,D,27.4,73,188,
382,James Hamblin,L,24.4,69,176,3.290741709706187
383,James van Riemsdyk,L,34.4,75,208,2.0809513305216925
384,Jamie Benn,L,34.2,74,205,1.640067486416337
385,Jamie Drysdale,D,21.5,71,183,
386,Jamie Oleksiak,D,30.8,79,257,
387,Jan Jenik,R,23.0,73,185,4.335513307556558
388,Jan Rutta,D,33.2,75,204,
389,Jani Hakanpaa,D,31.5,78,225,
390,Jansen Harkins,C,26.4,73,182,2.724633435895553
391,Jared McCann,L,27.3,73,191,1.8416151905324836
392,Jared Spurgeon,D,33.8,69,166,
393,Jaret Anderson-Dolan,C,24.1,71,200,2.7697012456219894
394,Jarred Tinordi,D,31.6,78,229,
395,Jason Demers,D,35.3,73,195,
396,Jason Dickinson,C,28.2,74,200,1.4248574490102517
397,Jason Robertson,L,24.2,75,200,1.7501951319781464
398,Jason Zucker,L,31.7,71,192,2.3636217633115497
399,Jaycob Megna,D,30.8,78,220,
400,Jayson Megna,C,33.7,73,195,2.693027432091994
401,Jean-Gabriel Pageau,C,30.9,71,185,1.906805000517882
402,Jean-Luc Foudy,C,21.4,71,177,4.117295160660698
403,Jean-Sebastien Dea,C,29.6,71,174,2.4550074765670264
404,Jeff Carter,C,38.7,75,219,1.6380014529908082
405,Jeff Petry,D,35.8,75,209,
406,Jeff Skinner,L,31.4,71,197,1.1513312468616488
407,Jeffrey Viel,L,26.7,74,205,3.9607849676547704
408,Jeremy Davies,D,26.8,71,180,
409,Jeremy Lauzon,D,26.4,73,204,
410,Jesper Boqvist,C,24.9,72,180,1.6499427990084978
411,Jesper Bratt,L,25.2,70,175,1.6001285542105674
412,Jesper Fast,R,31.8,73,191,2.1606838616512127
413,Jesper Froden,R,29.0,70,179,2.632553610090399
414,Jesperi Kotkaniemi,C,23.2,74,201,1.7494977450685667
415,Jesse Puljujarvi,R,25.4,76,201,1.7054843153778918
416,Jesse Ylonen,R,24.0,73,188,4.343095268354126
417,Jimmy Vesey,L,30.4,75,202,1.3845685934615153
418,Joe Pavelski,C,39.2,71,200,1.3665160079559986
419,Joe Snively,C,27.7,69,176,2.5178103085816446
420,Joe Veleno,C,23.7,73,203,2.870552169879517
421,Joel Armia,R,30.3,75,216,1.5711093023720526
422,Joel Edmundson,D,30.3,77,221,
423,Joel Eriksson Ek,C,26.7,75,207,1.3022153239767988
424,Joel Farabee,L,23.6,72,183,1.6319004136282338
425,Joel Hanley,D,32.3,71,190,
426,Joel Kiviranta,L,27.5,71,185,4.019616970558265
427,Joel Teasdale,L,24.6,72,212,3.169657096595781
428,Joey Anderson,R,25.3,72,207,3.5550914067010995
429,John Carlson,D,33.7,75,215,
430,John Hayden,C,28.6,75,223,3.257081323823524
431,John Klingberg,D,31.1,75,190,
432,John Leonard,L,25.2,71,196,3.767672889198319
433,John Marino,D,26.4,73,181,
434,John Tavares,C,33.0,73,216,1.3602389495967244
435,Johnathan Kovacevic,D,26.2,76,208,
436,Johnny Gaudreau,L,30.1,69,165,1.893211712936511
437,Jon Merrill,D,31.7,75,204,
438,Jonah Gadjovich,L,25.0,74,209,3.5955342801870205
439,Jonas Brodin,D,30.2,74,196,
440,Jonas Rondbjerg,R,24.5,74,203,4.779721389369887
441,Jonas Siegenthaler,D,26.4,74,218,
442,Jonatan Berggren,R,23.2,71,197,2.472550446401448
443,Jonathan Drouin,L,28.5,71,198,1.8775452164994597
444,Jonathan Gruden,C,23.4,72,172,4.763570421438105
445,Jonathan Huberdeau,C,30.3,73,200,1.060397114292566
446,Jonathan Marchessault,"C, R",32.8,69,183,1.3068054904996378
447,Jonathan Toews,C,35.4,74,201,2.5209422365456935
448,Jonny Brodzinski,C,30.3,72,212,2.779353397824752
449,Joona Koppanen,L,25.6,77,216,4.000482134693268
450,Joona Luoto,L,26.0,75,210,3.241437033169085
451,Jordan Eberle,R,33.4,71,190,1.1764431605479289
452,Jordan Greenway,L,26.6,78,231,2.07124850271521
453,Jordan Gross,D,28.4,70,190,
454,Jordan Harris,D,23.2,71,189,
455,Jordan Kyrou,C,25.4,73,196,2.2562882329170613
456,Jordan Martinook,L,31.2,72,196,2.2413100878727157
457,Jordan Oesterle,D,31.3,72,187,
458,Jordan Spence,D,22.6,70,180,
459,Jordan Staal,C,35.1,76,220,1.892921562030504
460,Jordie Benn,D,36.2,74,201,
461,Joseph Cramarossa,C,30.9,73,190,4.1296249841844
462,Josh Anderson,R,29.4,75,218,2.6609952949977194
463,Josh Archibald,R,31.0,70,176,1.9918959285063065
464,Josh Bailey,R,34.0,73,200,1.310560471706667
465,Josh Brown,D,29.7,77,220,
466,Josh Dunne,C,24.8,76,211,3.080351400408727
467,Josh Leivo,L,30.4,74,192,2.1950442273448614
468,Josh Mahura,D,25.4,72,185,
469,Josh Manson,D,32.0,75,218,
470,Josh Morrissey,D,28.5,72,185,
471,Josh Norris,C,24.4,74,195,3.692585374774698
472,Jujhar Khaira,L,29.1,76,212,1.811859862130623
473,Julien Gauthier,R,26.0,76,224,3.2330280837010994
474,Juraj Slafkovsky,L,19.5,75,238,3.466257594293881
475,Justin Barron,D,21.9,74,201,
476,Justin Braun,D,36.6,74,205,
477,Justin Danforth,R,30.5,69,190,3.037218536753653
478,Justin Faulk,D,31.5,72,214,
479,Justin Holl,D,31.7,75,197,
480,Justin Kirkland,C,27.2,75,183,2.6200902350873334
481,Justin Richards,C,25.5,71,190,2.852727116287151
482,Justin Schultz,D,33.2,74,190,
483,Juuso Parssinen,C,22.7,75,212,3.5948367473363803
484,Juuso Valimaki,D,25.0,74,205,
485,K'Andre Miller,D,23.7,77,215,
486,Kaapo Kakko,R,22.6,74,206,1.8075050732985505
487,Kaedan Korczak,D,22.7,75,202,
488,Kaiden Guhle,D,21.7,74,205,
489,Kailer Yamamoto,R,25.0,68,153,2.5573714219878196
490,Kale Clague,D,25.3,72,190,
491,Karson Kuhlman,C,28.0,70,184,2.2349131056933738
492,Kasperi Kapanen,R,27.2,73,194,2.154857665833175
493,Keegan Kolesar,R,26.5,74,217,2.1030613186495537
494,Kent Johnson,C,21.0,72,175,2.180593632477174
495,Kevin Bahl,D,23.3,78,230,
496,Kevin Fiala,L,27.2,70,204,1.7871566551368687
497,Kevin Gravel,D,31.6,76,205,
498,Kevin Hayes,C,31.4,77,216,1.598477935412309
499,Kevin Labanc,R,27.8,71,185,2.0024328677885816
500,Kevin Rooney,C,30.4,74,190,3.923452178885326
501,Kevin Shattenkirk,D,34.7,72,212,
502,Kevin Stenlund,C,27.0,77,215,1.461310682230168
503,Kiefer Sherwood,L,28.5,72,194,2.687973333201056
504,Kieffer Bellows,L,25.3,73,195,3.6773473850045764
505,Kirby Dach,C,22.7,76,212,1.8838773075760538
506,Kirill Kaprizov,L,26.4,70,202,1.5270744939262126
507,Kirill Marchenko,R,23.2,75,197,1.7624053875314836
508,Klim Kostin,C,24.4,75,215,3.3072740376328054
509,Kris Letang,D,36.4,72,201,
510,Kristian Reichel,C,25.3,72,168,3.0123475629482077
511,Kurtis MacDermid,D,29.5,77,233,
512,Kyle Burroughs,D,28.2,72,193,
513,Kyle Capobianco,D,26.1,74,201,
514,Kyle Clifford,L,32.7,74,217,3.8083564696598446
515,Kyle Connor,L,26.8,74,179,3.5690128102880214
516,Kyle Criscuolo,C,31.4,69,175,3.622264279425232
517,Kyle Okposo,R,35.5,72,218,1.800150135405379
518,Kyle Palmieri,C,32.7,71,198,1.7009384350998717
519,Lane Pederson,C,26.2,72,192,3.799829859348968
520,Lars Eller,C,34.4,74,205,2.105775809529591
521,Lassi Thomson,D,23.0,72,190,
522,Laurent Dauphin,C,28.5,72,186,2.57416331067009
523,Lawrence Pilut,D,27.8,71,194,
524,Lawson Crouse,L,26.3,76,215,1.7606915800332548
525,Leon Draisaitl,C,27.9,74,208,2.829725718157151
526,Liam Foudy,C,23.7,74,188,2.0198549848937173
527,Liam O'Brien,C,29.2,73,213,1.9912901446047488
528,Lias Andersson,C,25.0,73,185,2.952210697087861
529,Libor Hajek,D,25.7,74,209,
530,Logan Brown,C,25.6,78,218,3.444706083252967
531,Logan Couture,C,34.5,73,206,1.1894134016396494
532,Logan O'Connor,R,27.1,72,175,1.4135562634716745
533,Logan Stanley,D,25.4,79,242,
534,Lucas Carlsson,D,26.2,72,189,
535,Lucas Condotta,C,26.3,73,223,2.3745612310488013
536,Lucas Johansen,D,25.9,74,176,
537,Lucas Raymond,L,21.5,71,176,1.6719701283216744
538,Lukas Reichel,L,21.4,72,170,4.331593816368288
539,Lukas Rousek,R,24.4,71,171,3.113888069600447
540,Lukas Sedlak,C,30.6,72,205,3.6990687801120967
541,Luke Evangelista,R,21.6,72,183,4.245537576090923
542,Luke Glendening,C,34.4,71,190,2.4059013612365736
543,Luke Hughes,D,20.1,74,184,
544,Luke Kunin,C,25.8,72,197,3.6351762144358286
545,Luke Philp,C,27.9,70,181,2.495204318287382
546,Luke Schenn,D,33.9,74,225,
547,Mac Hollowell,D,25.0,69,170,
548,MacKenzie Entwistle,R,24.2,75,184,2.8498358742215313
549,MacKenzie Weegar,D,29.7,72,206,
550,Marc McLaughlin,C,24.2,72,203,3.9306094832735545
551,Marc Staal,D,36.7,76,208,
552,Marc-Edouard Vlasic,D,36.5,73,205,
553,Marco Kasper,C,19.5,73,183,4.501183848722466
554,Marco Rossi,C,22.0,69,182,4.033754919426811
555,Marco Scandella,D,33.6,75,212,
556,Marcus Bjork,D,25.9,76,211,
557,Marcus Foligno,L,32.1,75,226,1.5360357124754622
558,Marcus Johansson,L,33.0,73,203,1.8579800214211135
559,Marcus Pettersson,D,27.4,75,177,
560,Marian Studenic,"L, R",24.9,73,190,3.4881806375243807
561,Mario Ferraro,D,25.0,72,209,
562,Mark Borowiecki,D,34.2,74,204,
563,Mark Friedman,D,27.8,71,185,
564,Mark Giordano,D,40.0,72,205,
565,Mark Jankowski,C,29.0,76,212,1.84464219836802
566,Mark Kastelic,C,24.6,75,233,3.2741570197533294
567,Mark Scheifele,C,30.5,75,198,2.8103063961070154
568,Mark Stone,R,31.4,75,217,3.5362994485761536
569,Markus Niemelainen,D,25.3,78,190,
570,Martin Fehervary,D,24.0,74,199,
571,Martin Kaut,R,24.0,74,190,3.5286367962713303
572,Martin Necas,C,24.7,74,189,1.446390666452186
573,Mason Appleton,C,27.7,75,197,1.6118201481554941
574,Mason Marchment,L,28.3,76,210,2.382318484166212
575,Mason McTavish,C,20.7,72,213,2.610072755690921
576,Mason Shaw,C,24.9,70,184,1.956153191853849
577,Matej Blumel,R,23.3,72,200,3.6216753084725863
578,Mathew Barzal,C,26.4,73,190,1.9047620218809493
579,Mathieu Joseph,R,26.6,73,187,1.9073570064358687
580,Mathieu Olivier,R,26.6,73,217,2.1194013683113444
581,Matias Maccelli,L,23.0,71,176,1.8027641997776631
582,Mats Zuccarello,R,36.1,68,181,2.38865664966734
583,Matt Boldy,L,22.5,74,201,2.6022560423601675
584,Matt Coronato,R,20.9,70,183,3.1426067269068203
585,Matt Duchene,C,32.7,71,195,1.901252900063534
586,Matt Dumba,D,29.2,72,181,
587,Matt Grzelcyk,D,29.7,70,176,
588,Matt Irwin,D,35.8,74,200,
589,Matt Kiersted,D,25.5,72,181,
590,Matt Luff,R,26.4,74,196,2.9508733808823444
591,Matt Martin,L,34.4,75,220,1.9530283049664183
592,Matt Nieto,L,30.9,71,187,2.126307362541925
593,Matt Roy,D,28.6,73,205,
